F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	TotalMarkers	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICMX 2010778:5	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:6	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:7	ICMR 13999	100.0	ICMR 101415	100.0	30	13	0	2	1	10	0.0	failedF1
ICMX 2010778:8	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:9	ICMR 13999	100.0	ICMR 101415	100.0	30	13	1	0	1	11	7.69	failedF1
ICMX 2010778:10	ICMR 13999	100.0	ICMR 101415	100.0	30	13	0	0	1	12	0.0	failedF1
ICMX 2010778:11	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:12	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:1	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:13	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:2	ICMR 13999	100.0	ICMR 101415	100.0	30	13	2	0	1	10	15.38	failedF1
ICMX 2010778:3	ICMR 13999	100.0	ICMR 101415	100.0	30	13	0	3	0	10	0.0	failedF1
ICMX 2010779:1	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:2	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:3	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:4	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:5	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:6	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:7	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010779:8	ICMR 15666	100.0	ICMR 100931	100.0	30	12	3	0	0	9	25.0	failedF1
ICMX 2010780:5	ICMR 17222	87.5	ICMR 100931	100.0	30	16	4	0	1	11	25.0	failedF1
ICMX 2010780:6	ICMR 17222	87.5	ICMR 100931	100.0	30	16	4	0	1	11	25.0	failedF1
ICMX 2010780:7	ICMR 17222	87.5	ICMR 100931	100.0	30	16	4	0	1	11	25.0	failedF1
ICMX 2010780:1	ICMR 17222	87.5	ICMR 100931	100.0	30	16	4	0	1	11	25.0	failedF1
ICMX 2010780:2	ICMR 17222	87.5	ICMR 100931	100.0	30	16	4	0	1	11	25.0	failedF1
ICMX 2010780:3	ICMR 17222	87.5	ICMR 100931	100.0	30	16	0	4	0	12	0.0	failedF1
ICMX 2010780:4	ICMR 17222	87.5	ICMR 100931	100.0	30	16	0	5	0	11	0.0	failedF1
ICMX 2010781:1	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:2	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	0	7	0	8	0.0	failedF1
ICMX 2010781:3	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	0	7	0	8	0.0	failedF1
