SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010792:4	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:5	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:6	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:7	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010792:8	ICMX 2010792	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622	
ICMX 2010793:10	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:11	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:1	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:2	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:3	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:4	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:5	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:6	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:7	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:8	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010793:9	ICMX 2010793	ICMR 19777	ICMR 102622	
ICMX 2010794:9	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:1	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:2	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:3	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:4	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:5	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:6	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:7	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010794:8	ICMX 2010794	ICMR 100487	ICMR 102621	
ICMX 2010795:1	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:2	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:3	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:4	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:5	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:6	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:7	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010795:8	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624	
ICMX 2010796:8	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:9	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:10	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:11	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:12	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:1	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:2	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:3	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:4	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:5	ICMX 2010796	ICMR 17222	ICMR 102624	
