SAMPLE_UID	SAMPLE_NAME
ASI8FBz9Bjlsm	ICSX 2010105:4
ASI8F9ldwKy2O	ICSX 2010107:4
ASI8FtsX3BRAM	ICSX 2010109:2
ASI8FjlQdUSbE	ICSX 2010094:2
ASI8Fn29KyTk9	ICSX 2010097:3
ASI8FDz0GTuMb	ICSX 2010099:1
ASI8FYPV37VX0	ICSX 2010102:1
ASI8FnqLkTvc6	SSG 59-3:10
ASI8FydLorZQK	ICSX 2010105:5
ASI8FjBrwQLc1	ICSX 2010107:5
ASI8FsExn9GSW	ICSX 2010094:3
ASI8FIx18xvUM	ICSX 2010097:4
ASI8F8m81IOS4	ICSX 2010099:2
ASI8FYfGhyEJF	ICSX 2010102:2
ASI8FnSloOTbu	SSG 59-3:11
ASI8FIje474Zt	ICSX 2010105:6
ASI8FaToG2EV9	ICSX 2010107:6
ASI8FzJRWBjHU	ICSX 2010109:3
ASI8FmAjoBgcq	ICSX 2010111:3
ASI8Fucyoglms	ICSX 2010113:3
ASI8FrMxXhu1f	BN 612:1
ASI8FmO5q3iLh	ICSX 2010055:8
ASI8F9FkTEzrJ	ICSX 2010066:7
ASI8F1EiWxfAK	ICSX 2010079:7
ASI8FeA9MJJ4k	ICSX 2010089:8
ASI8FvP9SGvLz	ICSX 2010109:4
ASI8FWygtt1Y7	ICSX 2010111:4
ASI8FIAAKDsH4	ICSX 2010113:4
ASI8FjIP4UpdV	BN 612:2
ASI8FSrTHcLS5	ICSX 2010056:7
ASI8FDneBOjPX	ICSX 2010067:7
ASI8FVXZeoRVV	ICSX 2010079:8
ASI8FBLmf9njq	ICSX 2010090:7
ASI8FNugWQXaR	ICSX 2010109:5
ASI8FYwu6fHjz	ICSX 2010111:5
ASI8FtKAZ0ulz	ICSX 2010113:5
ASI8FSVL2M70d	ICSX 2010045:7
ASI8FviYAN7Ep	ICSX 2010057:7
ASI8F173ueDvQ	ICSX 2010068:7
ASI8FxdQQXJ4k	ICSX 2010080:7
ASI8FeaXg8vZw	ICSX 2010091:7
ASI8FwDqlMnFo	ICSX 2010109:6
ASI8FTHZbEHwf	ICSX 2010111:6
ASI8F1b7AcEIu	ICSX 2010113:6
ASI8FAHzjKJAE	ICSX 2010045:8
ASI8FixrEGbq0	ICSX 2010057:8
ASI8F21pDRmqU	ICSX 2010069:7
ASI8FAOSM6r0l	ICSX 2010081:7
ASI8FPmmqQeLL	ICSX 2010091:8
ASI8F2IjBfw5J	ICSX 2010110:1
ASI8FoOxvSZ1w	ICSX 2010112:1
ASI8FrhemYruw	N 600:1
ASI8F4BIM1vuB	ICSX 2010046:7
ASI8F3TSHkcFs	ICSX 2010058:7
ASI8F4dEiKGoE	ICSX 2010071:7
ASI8Fa2vRXCf9	ICSX 2010082:7
ASI8FWcHat69P	ICSX 2010092:7
ASI8F9FOQhmSa	ICSX 2010110:2
ASI8Fyq6XWJUy	ICSX 2010112:2
ASI8FlFF4nEdx	N 600:2
ASI8FmjZ9jqnz	ICSX 2010047:7
ASI8FWUQPQw1c	ICSX 2010059:7
ASI8F7kdxoTnt	ICSX 2010071:8
ASI8FG1IxBGCX	ICSX 2010083:7
ASI8Fl7ktVswX	ICSX 2010093:7
ASI8FhzF27nQO	ICSX 2010110:3
ASI8FTcf2gR5c	ICSX 2010112:3
ASI8FQ0U9UVKM	ICSB 100130:1
ASI8FqFrlJymo	ICSX 2010047:8
ASI8FzbnU6mR1	ICSX 2010060:7
ASI8F5yVvARTp	ICSX 2010072:7
ASI8FvTJtCnBU	ICSX 2010084:7
ASI8FcWqHCFSf	ICSX 2010097:7
ASI8FZvHuvgmZ	ICSX 2010110:4
ASI8F5nVOGQgU	ICSX 2010112:4
ASI8FhJHfOffg	ICSB 100130:2
ASI8FOq19Hm6l	ICSX 2010048:7
ASI8FmAb7XPCo	ICSX 2010061:7
ASI8FrpOfZJfX	ICSX 2010074:7
ASI8FpduElRO6	ICSX 2010098:7
ASI8FMVmdsrCc	ICSX 2010110:5
ASI8F20JGS4Do	ICSX 2010112:5
ASI8FSHwEyPmC	N 596:1
ASI8FdiX5LhgZ	ICSX 2010051:7
ASI8FS0YS24Ow	ICSX 2010062:7
ASI8FXOY7CSVn	ICSX 2010075:7
ASI8FFPkbtsJq	ICSX 2010086:7
ASI8FCKhcTH8V	ICSX 2010100:7
ASI8FYI0yoOXl	ICSX 2010110:6
ASI8FFWeRXrKk	ICSX 2010112:6
ASI8FB0m6kig7	N 596:2
ASI8FIo2d8HxA	ICSX 2010051:8
ASI8ForSLvLao	ICSX 2010064:7
ASI8FkvcmLl4c	ICSX 2010076:7
ASI8FXANCuUnZ	ICSX 2010086:8
ASI8FOMtKLDxa	ICSX 2010100:8
ASI8Ft8PuqRVw	ICSX 2010111:1
ASI8FNmRNQPNx	ICSX 2010113:1
ASI8FZlGza9CY	N 598:1
ASI8FcW9pgNYe	ICSX 2010053:7
ASI8FAZvRxF6c	ICSX 2010065:7
ASI8FzsUv6GqH	ICSX 2010077:7
ASI8F0j1ii5Ol	ICSX 2010087:7
ASI8FVvArtuet	ICSX 2010111:2
ASI8Fqt9cRWAB	ICSX 2010113:2
ASI8FVjIBCJqG	N 598:2
ASI8FaXigb0Jn	ICSX 2010055:7
ASI8F1X3SpxsV	ICSX 2010065:8
ASI8Fs4b4Is4L	ICSX 2010078:7
ASI8FGu8uctca	ICSX 2010089:7
ASI8FUZ7LhIk3	296 B:12
ASI8FrOeuNkee	ICSX 2010014:15
ASI8FdZSdShMM	ICSX 2010006:5
ASI8FuoDNimKu	ICSX 2010008:5
ASI8FFmvcZmwu	ICSX 2010010:3
ASI8Fl3ysCA6z	ICSX 2010012:3
ASI8F2gHzYslh	ICSX 2010014:1
ASI8FLPGL9xDw	ICSX 2010016:1
ASI8FaFQP3l9m	296 B:13
ASI8FUwgkaAnI	ICSX 2010032:12
ASI8FwgWpVBKa	ICSX 2010006:6
ASI8F8ygIfkCi	ICSX 2010008:6
ASI8F3FWwMFg7	ICSX 2010010:4
ASI8Ff15QAd4j	ICSX 2010012:4
ASI8FvxSnZyj1	ICSX 2010014:2
ASI8FEUXNKxA8	ICSX 2010016:2
ASI8FfN8RQEpI	ICSX 2010002:1
ASI8FEHr1DYmp	ICSX 2010032:13
ASI8FyyHfG4tq	ICSX 2010006:7
ASI8Fu3t5XSEa	ICSX 2010008:7
ASI8FG879b4td	ICSX 2010010:5
ASI8FXeQHLVj8	ICSX 2010012:5
ASI8FQcPlEDYQ	ICSX 2010014:3
ASI8F6SkCsPYw	ICSX 2010016:3
ASI8Fr4wXBdEh	ICSX 2010002:2
ASI8FvizBImAx	ICSX 2010032:14
ASI8F7EZhCbtS	ICSX 2010006:8
ASI8Fa2zMatg5	ICSX 2010008:8
ASI8FMPDAyzm5	ICSX 2010010:6
ASI8F8SvsYILB	ICSX 2010012:6
ASI8FljdRLOHc	ICSX 2010014:4
ASI8F3m5rasMI	ICSX 2010016:4
ASI8FCLH5sMLp	ICSX 2010002:3
ASI8FiIjlbv6b	ICSX 2010032:15
ASI8FJOxkqXpf	ICSX 2010006:9
ASI8FwkRwYT1J	ICSX 2010008:9
ASI8Frj4KKsPC	ICSX 2010010:7
ASI8FZa7swrQY	ICSX 2010012:7
ASI8FCz65HJeW	ICSX 2010014:5
ASI8FYC9svax0	ICSX 2010016:5
ASI8FlPXUZu2I	ICSX 2010002:4
ASI8FvK9q9gOk	ICSX 2010032:16
ASI8FmAZF0PhX	ICSX 2010006:10
ASI8FSuZ8kLxF	ICSX 2010008:10
ASI8FipaAtfOf	ICSX 2010010:8
ASI8FOKt7srPJ	ICSX 2010012:8
ASI8FgDkESOHh	ICSX 2010014:6
ASI8FX1Ce6EbU	ICSX 2010016:6
ASI8FKSFI8gZ2	ICSX 2010004:1
ASI8FsiklgLq1	ICSB 52:11
ASI8FLqTLtppt	ICSX 2010006:11
ASI8FZHvIXTFO	ICSX 2010008:11
ASI8FtPpWeeck	ICSX 2010010:9
ASI8FB8iII7qZ	ICSX 2010012:9
ASI8FNmL15Kdu	ICSX 2010014:7
ASI8Fqr1hPJmv	ICSX 2010016:7
ASI8FYLPbJgMa	ICSX 2010004:2
ASI8FygLR7LF4	ICSB 52:12
ASI8F0MY5nty6	ICSX 2010006:12
ASI8FPpGEBLWW	ICSX 2010008:12
ASI8FcYzYKOGu	ICSX 2010010:10
ASI8FXsNbtGmL	ICSX 2010012:10
ASI8FQkt9N5vF	ICSX 2010014:8
ASI8F8BqkeN3a	ICSX 2010016:8
ASI8FrEEYgNzN	ICSX 2010004:3
ASI8FYxdgvBZI	ICSX 2010006:1
ASI8FctzQJ7kk	ICSX 2010008:1
ASI8F9S6w98Qi	ICSB 101:11
ASI8FUc1fEv5w	ICSX 2010010:11
ASI8FD6OCWnsC	ICSX 2010012:11
ASI8FSWoPvkzJ	ICSX 2010014:9
