SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B
ICMX 2010800:1	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:13	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:2	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:3	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:4	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:6	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:7	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:8	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:9	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:10	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010800:11	ICMX 2010800	ICMB 101958	ICMB 101771
ICMX 2010801:11	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:12	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:1	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:13	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:14	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:3	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:4	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:5	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:6	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:7	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:8	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:9	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010801:10	ICMX 2010801	ICMB 101665	ICMB 101771
ICMX 2010802:9	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:10	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:11	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:12	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:1	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:13	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:2	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:3	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:4	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:5	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:6	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:7	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010802:8	ICMX 2010802	ICMB 101963	ICMB 101771
ICMX 2010803:8	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:1	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:2	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:3	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:4	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:5	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:6	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010803:7	ICMX 2010803	ICMB 101600	ICMB 101771
ICMX 2010805:12	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:1	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:13	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:2	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:14	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:3	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:4	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:5	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:6	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:8	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:9	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:10	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010805:11	ICMX 2010805	ICMB 101959	ICMB 101793
ICMX 2010806:10	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:11	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:12	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:1	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:13	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:2	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:14	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:3	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:15	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:4	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:5	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:6	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:7	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:8	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010806:9	ICMX 2010806	ICMB 101961	ICMB 101797
ICMX 2010807:1	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:2	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:3	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:4	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:5	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:6	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:7	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:8	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:9	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:10	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:11	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:12	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010807:13	ICMX 2010807	ICMB 101955	ICMB 101797
ICMX 2010808:4	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:5	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:6	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:7	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:8	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:9	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:10	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:11	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:12	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:1	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:2	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010808:3	ICMX 2010808	ICMB 101956	ICMB 101793
ICMX 2010809:3	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:4	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:5	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:6	ICMX 2010809	ICMB 101665	ICMB 101797
