SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISmXpYqBc8	ICMX 2010778	ICMX 2010778:7	ICMR 13999	ICMR 101415
8TNISNvPX6wiC	ICMX 2010778	ICMX 2010778:8	ICMR 13999	ICMR 101415
8TNISBbGl2G4p	ICMX 2010778	ICMX 2010778:9	ICMR 13999	ICMR 101415
8TNISRhVfAxS7	ICMX 2010778	ICMX 2010778:10	ICMR 13999	ICMR 101415
8TNIScvO0MK2n	ICMX 2010778	ICMX 2010778:11	ICMR 13999	ICMR 101415
8TNISG38cKJRI	ICMX 2010778	ICMX 2010778:12	ICMR 13999	ICMR 101415
8TNISO3l3qVdR	ICMX 2010778	ICMX 2010778:1	ICMR 13999	ICMR 101415
8TNISUKvNEdKX	ICMX 2010778	ICMX 2010778:13	ICMR 13999	ICMR 101415
8TNIS4iArZ8t8	ICMX 2010778	ICMX 2010778:2	ICMR 13999	ICMR 101415
8TNISo9PBMDu4	ICMX 2010778	ICMX 2010778:3	ICMR 13999	ICMR 101415
8TNISozRcpAYI	ICMX 2010779	ICMX 2010779:1	ICMR 15666	ICMR 100931
8TNISjFTNvKiD	ICMX 2010779	ICMX 2010779:2	ICMR 15666	ICMR 100931
8TNISSwMFPB6r	ICMX 2010779	ICMX 2010779:3	ICMR 15666	ICMR 100931
8TNISEivFVmn5	ICMX 2010779	ICMX 2010779:4	ICMR 15666	ICMR 100931
8TNISQAMB1Jso	ICMX 2010779	ICMX 2010779:5	ICMR 15666	ICMR 100931
8TNISvOTptQpn	ICMX 2010779	ICMX 2010779:6	ICMR 15666	ICMR 100931
8TNISfEQnk7ti	ICMX 2010779	ICMX 2010779:7	ICMR 15666	ICMR 100931
8TNISX0YWpR6h	ICMX 2010779	ICMX 2010779:8	ICMR 15666	ICMR 100931
8TNIS2K6qr8pC	ICMX 2010780	ICMX 2010780:5	ICMR 17222	ICMR 100931
8TNISKopJd0QO	ICMX 2010780	ICMX 2010780:6	ICMR 17222	ICMR 100931
8TNISdhrGWYNg	ICMX 2010780	ICMX 2010780:7	ICMR 17222	ICMR 100931
8TNISQaytcMdt	ICMX 2010780	ICMX 2010780:1	ICMR 17222	ICMR 100931
8TNISSwjbSldM	ICMX 2010780	ICMX 2010780:2	ICMR 17222	ICMR 100931
8TNIS3W0qWLkK	ICMX 2010780	ICMX 2010780:3	ICMR 17222	ICMR 100931
8TNIStaXdV8WA	ICMX 2010780	ICMX 2010780:4	ICMR 17222	ICMR 100931
8TNISfinMZl9l	ICMX 2010781	ICMX 2010781:1	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISPKhRxDgE	ICMX 2010781	ICMX 2010781:2	ICMR 102387	ICMX 1410895-B-8-1-2
8TNIS7iygSyfD	ICMX 2010781	ICMX 2010781:3	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISTIKEh5yp	ICMX 2010781	ICMX 2010781:15	ICMR 102387	ICMX 1410895-B-8-1-2
8TNIS8L2EnGtk	ICMX 2010781	ICMX 2010781:4	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISFiFXBVva	ICMX 2010781	ICMX 2010781:5	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISlBKeOvTs	ICMX 2010781	ICMX 2010781:6	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISCygxCGy1	ICMX 2010781	ICMX 2010781:7	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISsd76Hrrm	ICMX 2010781	ICMX 2010781:8	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISNHQHZ43u	ICMX 2010781	ICMX 2010781:9	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISkfKQ3Ln2	ICMX 2010781	ICMX 2010781:10	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISBxCtDaur	ICMX 2010781	ICMX 2010781:11	ICMR 102387	ICMX 1410895-B-8-1-2
8TNIS3vrpUYqe	ICMX 2010781	ICMX 2010781:12	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISggF4d9Ze	ICMX 2010781	ICMX 2010781:13	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISbyZ1f7FD	ICMX 2010781	ICMX 2010781:14	ICMR 102387	ICMX 1410895-B-8-1-2
8TNISpiBROdik	ICMX 2010783	ICMX 2010783:12	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISZJB16tVS	ICMX 2010783	ICMX 2010783:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISy9QN7kUz	ICMX 2010783	ICMX 2010783:13	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISYssGvoWv	ICMX 2010783	ICMX 2010783:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISbfU1eDI5	ICMX 2010783	ICMX 2010783:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNIS1OUIxYIH	ICMX 2010783	ICMX 2010783:4	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISHrSWoJls	ICMX 2010783	ICMX 2010783:5	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISTejE8v70	ICMX 2010783	ICMX 2010783:6	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISU0FelOhN	ICMX 2010783	ICMX 2010783:7	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISdY9fcprz	ICMX 2010783	ICMX 2010783:8	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNIS4NP0jhhs	ICMX 2010783	ICMX 2010783:9	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISADzEgGhz	ICMX 2010783	ICMX 2010783:10	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISScgRcx7A	ICMX 2010783	ICMX 2010783:11	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542
8TNISVpiLxzyF	ICMX 2010784	ICMX 2010784:9	ICMR 15666	ICMR 102180
8TNISVR3yiJRD	ICMX 2010784	ICMX 2010784:10	ICMR 15666	ICMR 102180
8TNISTUJnsUVQ	ICMX 2010784	ICMX 2010784:11	ICMR 15666	ICMR 102180
8TNIS4HBnlQaD	ICMX 2010784	ICMX 2010784:12	ICMR 15666	ICMR 102180
8TNISilHSKGJA	ICMX 2010784	ICMX 2010784:1	ICMR 15666	ICMR 102180
8TNISfJrktGxw	ICMX 2010784	ICMX 2010784:13	ICMR 15666	ICMR 102180
8TNISuzLYEgAo	ICMX 2010784	ICMX 2010784:2	ICMR 15666	ICMR 102180
8TNISceZ4GkLG	ICMX 2010784	ICMX 2010784:14	ICMR 15666	ICMR 102180
8TNISyXvBfWSJ	ICMX 2010784	ICMX 2010784:3	ICMR 15666	ICMR 102180
8TNISWTstM4w6	ICMX 2010784	ICMX 2010784:15	ICMR 15666	ICMR 102180
8TNISjfHOootw	ICMX 2010784	ICMX 2010784:4	ICMR 15666	ICMR 102180
8TNIS99CJDaOS	ICMX 2010784	ICMX 2010784:5	ICMR 15666	ICMR 102180
8TNISih5flfto	ICMX 2010784	ICMX 2010784:6	ICMR 15666	ICMR 102180
8TNIS2iey7Wlb	ICMX 2010784	ICMX 2010784:7	ICMR 15666	ICMR 102180
8TNISZtkWiIth	ICMX 2010784	ICMX 2010784:8	ICMR 15666	ICMR 102180
8TNISZOcpgcJK	ICMX 2010785	ICMX 2010785:6	ICMR 18777	ICMR 102180
8TNIS96sJKkOj	ICMX 2010785	ICMX 2010785:7	ICMR 18777	ICMR 102180
8TNISDZvNcrtd	ICMX 2010785	ICMX 2010785:8	ICMR 18777	ICMR 102180
8TNISCuuSQypA	ICMX 2010785	ICMX 2010785:9	ICMR 18777	ICMR 102180
8TNISG4aHMaSd	ICMX 2010785	ICMX 2010785:10	ICMR 18777	ICMR 102180
8TNISUSrc6HEp	ICMX 2010785	ICMX 2010785:1	ICMR 18777	ICMR 102180
8TNISkfmOWCF3	ICMX 2010785	ICMX 2010785:2	ICMR 18777	ICMR 102180
8TNISRe6bW5ca	ICMX 2010785	ICMX 2010785:3	ICMR 18777	ICMR 102180
8TNISz9Qg1p3f	ICMX 2010785	ICMX 2010785:4	ICMR 18777	ICMR 102180
8TNIS0KHJRZ64	ICMX 2010785	ICMX 2010785:5	ICMR 18777	ICMR 102180
8TNISxp6dPn4o	ICMX 2010786	ICMX 2010786:8	ICMR 19777	ICMR 1804
8TNISygG0xaDY	ICMX 2010786	ICMX 2010786:9	ICMR 19777	ICMR 1804
8TNIS90btAzDr	ICMX 2010786	ICMX 2010786:10	ICMR 19777	ICMR 1804
8TNIS0uKpW2N5	ICMX 2010786	ICMX 2010786:11	ICMR 19777	ICMR 1804
8TNISTIw6jFM0	ICMX 2010786	ICMX 2010786:12	ICMR 19777	ICMR 1804
8TNISyzEQNxTM	ICMX 2010786	ICMX 2010786:1	ICMR 19777	ICMR 1804
8TNISzIKG0q96	ICMX 2010786	ICMX 2010786:13	ICMR 19777	ICMR 1804
8TNISZZ799j3T	ICMX 2010786	ICMX 2010786:2	ICMR 19777	ICMR 1804
8TNISPyINvbN7	ICMX 2010786	ICMX 2010786:14	ICMR 19777	ICMR 1804
8TNIS6nzaDXhb	ICMX 2010786	ICMX 2010786:3	ICMR 19777	ICMR 1804
8TNISWzyAfb4o	ICMX 2010786	ICMX 2010786:4	ICMR 19777	ICMR 1804
8TNIST9qAfQvP	ICMX 2010786	ICMX 2010786:5	ICMR 19777	ICMR 1804
8TNIS8wHn31VX	ICMX 2010786	ICMX 2010786:6	ICMR 19777	ICMR 1804
8TNISwL0ebmdn	ICMX 2010786	ICMX 2010786:7	ICMR 19777	ICMR 1804
8TNISisWc3Bpx	ICMX 2010787	ICMX 2010787:5	ICMR 102387	ICMR 102623
8TNISzJ3LPF3R	ICMX 2010787	ICMX 2010787:1	ICMR 102387	ICMR 102623
8TNISPcvstHuB	ICMX 2010787	ICMX 2010787:2	ICMR 102387	ICMR 102623
8TNISGBdPgj43	ICMX 2010787	ICMX 2010787:3	ICMR 102387	ICMR 102623
8TNISTCm9KMaH	ICMX 2010787	ICMX 2010787:4	ICMR 102387	ICMR 102623
8TNISkowqPQe5	ICMX 2010788	ICMX 2010788:8	ICMR 100437	ICMR 102623
8TNISnMoV1Xct	ICMX 2010788	ICMX 2010788:1	ICMR 100437	ICMR 102623
8TNISkVg0DM8F	ICMX 2010788	ICMX 2010788:2	ICMR 100437	ICMR 102623
8TNISd25x6D21	ICMX 2010788	ICMX 2010788:3	ICMR 100437	ICMR 102623
8TNISaR1Wgt22	ICMX 2010788	ICMX 2010788:4	ICMR 100437	ICMR 102623
8TNISBIOgBsZe	ICMX 2010788	ICMX 2010788:5	ICMR 100437	ICMR 102623
8TNIS8hVs3Mq9	ICMX 2010788	ICMX 2010788:6	ICMR 100437	ICMR 102623
8TNISAc17vEdt	ICMX 2010788	ICMX 2010788:7	ICMR 100437	ICMR 102623
8TNISHFfqGJvj	ICMX 2010789	ICMX 2010789:1	ICMR 15666	ICMR 102623
8TNISdcsQGJNA	ICMX 2010789	ICMX 2010789:2	ICMR 15666	ICMR 102623
8TNISMu6Bz40j	ICMX 2010789	ICMX 2010789:3	ICMR 15666	ICMR 102623
8TNISxgQX0mB5	ICMX 2010789	ICMX 2010789:4	ICMR 15666	ICMR 102623
8TNISoaOggfLv	ICMX 2010789	ICMX 2010789:5	ICMR 15666	ICMR 102623
8TNIS2FKxBipu	ICMX 2010789	ICMX 2010789:6	ICMR 15666	ICMR 102623
8TNISMhiRtxYZ	ICMX 2010789	ICMX 2010789:7	ICMR 15666	ICMR 102623
8TNISZhfxzjOI	ICMX 2010789	ICMX 2010789:8	ICMR 15666	ICMR 102623
