SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISayjPf9m7	ICMX 2010797	ICMX 2010797:8	ICMR 13999	AIMP 92901
8TNISvHFsMXTk	ICMX 2010797	ICMX 2010797:9	ICMR 13999	AIMP 92901
8TNISo2fY15VV	ICMX 2010797	ICMX 2010797:10	ICMR 13999	AIMP 92901
8TNIS3ObKuoF9	ICMX 2010797	ICMX 2010797:11	ICMR 13999	AIMP 92901
8TNISXdWJauF0	ICMX 2010798	ICMX 2010798:5	ICMR 19777	AIMP 92901
8TNISLApOJgKC	ICMX 2010798	ICMX 2010798:6	ICMR 19777	AIMP 92901
8TNIS5uZcVuTh	ICMX 2010798	ICMX 2010798:7	ICMR 19777	AIMP 92901
8TNIS8JF5IPCv	ICMX 2010798	ICMX 2010798:8	ICMR 19777	AIMP 92901
8TNISQtuFY5kX	ICMX 2010798	ICMX 2010798:9	ICMR 19777	AIMP 92901
8TNISjLc5R1FC	ICMX 2010798	ICMX 2010798:10	ICMR 19777	AIMP 92901
8TNIS1uawOaVs	ICMX 2010798	ICMX 2010798:11	ICMR 19777	AIMP 92901
8TNIStfWrtfaD	ICMX 2010798	ICMX 2010798:12	ICMR 19777	AIMP 92901
8TNIShEQ1kPIo	ICMX 2010798	ICMX 2010798:1	ICMR 19777	AIMP 92901
8TNISVHIrSH2H	ICMX 2010798	ICMX 2010798:2	ICMR 19777	AIMP 92901
8TNISgzrX2Yjg	ICMX 2010798	ICMX 2010798:3	ICMR 19777	AIMP 92901
8TNISu4OjNdL1	ICMX 2010798	ICMX 2010798:4	ICMR 19777	AIMP 92901
8TNISmbe38NGh	ICMX 2010799	ICMX 2010799:1	ICMB 101637	ICMB 101771
8TNISfVgQMKLV	ICMX 2010799	ICMX 2010799:2	ICMB 101637	ICMB 101771
8TNIS9XC0BeK7	ICMX 2010799	ICMX 2010799:3	ICMB 101637	ICMB 101771
8TNISdnltv5eE	ICMX 2010799	ICMX 2010799:4	ICMB 101637	ICMB 101771
8TNISV0QYxiG5	ICMX 2010799	ICMX 2010799:5	ICMB 101637	ICMB 101771
8TNISHtZIK8rA	ICMX 2010799	ICMX 2010799:6	ICMB 101637	ICMB 101771
8TNIS56R6rZcz	ICMX 2010799	ICMX 2010799:7	ICMB 101637	ICMB 101771
8TNISSAHPyq01	ICMX 2010799	ICMX 2010799:8	ICMB 101637	ICMB 101771
8TNIS9pYwOMn9	ICMX 2010799	ICMX 2010799:9	ICMB 101637	ICMB 101771
8TNISG1P9pOem	ICMX 2010799	ICMX 2010799:10	ICMB 101637	ICMB 101771
8TNISsTJxiwpa	ICMX 2010799	ICMX 2010799:11	ICMB 101637	ICMB 101771
8TNISeQjrjAMQ	ICMX 2010800	ICMX 2010800:12	ICMB 101958	ICMB 101771
8TNIS3bG1HdCK	ICMX 2010800	ICMX 2010800:1	ICMB 101958	ICMB 101771
8TNISlV4WQtc3	ICMX 2010800	ICMX 2010800:13	ICMB 101958	ICMB 101771
8TNISX1oBceDK	ICMX 2010800	ICMX 2010800:2	ICMB 101958	ICMB 101771
8TNISw5VTMCVo	ICMX 2010800	ICMX 2010800:3	ICMB 101958	ICMB 101771
8TNIS8Mbl5zVW	ICMX 2010800	ICMX 2010800:4	ICMB 101958	ICMB 101771
8TNISwbrqE43i	ICMX 2010800	ICMX 2010800:6	ICMB 101958	ICMB 101771
8TNISyxDT6yA3	ICMX 2010800	ICMX 2010800:7	ICMB 101958	ICMB 101771
8TNISqD5mKCT2	ICMX 2010800	ICMX 2010800:8	ICMB 101958	ICMB 101771
8TNISPKnGbN4v	ICMX 2010800	ICMX 2010800:9	ICMB 101958	ICMB 101771
8TNISzbzsNkc9	ICMX 2010800	ICMX 2010800:10	ICMB 101958	ICMB 101771
8TNISn3wLb2Fe	ICMX 2010800	ICMX 2010800:11	ICMB 101958	ICMB 101771
8TNISLCPux5B8	ICMX 2010801	ICMX 2010801:11	ICMB 101665	ICMB 101771
8TNIS7sFCpBoE	ICMX 2010801	ICMX 2010801:12	ICMB 101665	ICMB 101771
8TNIS7ddXnln6	ICMX 2010801	ICMX 2010801:1	ICMB 101665	ICMB 101771
8TNIScE5rLUJ2	ICMX 2010801	ICMX 2010801:13	ICMB 101665	ICMB 101771
8TNISGvFixk5i	ICMX 2010801	ICMX 2010801:14	ICMB 101665	ICMB 101771
8TNISpx5Tzjew	ICMX 2010801	ICMX 2010801:3	ICMB 101665	ICMB 101771
8TNIS3JZIesmU	ICMX 2010801	ICMX 2010801:4	ICMB 101665	ICMB 101771
8TNISvLkgh5SG	ICMX 2010801	ICMX 2010801:5	ICMB 101665	ICMB 101771
8TNISLBwhX1f6	ICMX 2010801	ICMX 2010801:6	ICMB 101665	ICMB 101771
8TNISsMa1kUNa	ICMX 2010801	ICMX 2010801:7	ICMB 101665	ICMB 101771
8TNISdYuiY0oF	ICMX 2010801	ICMX 2010801:8	ICMB 101665	ICMB 101771
8TNISbfVeagPL	ICMX 2010801	ICMX 2010801:9	ICMB 101665	ICMB 101771
8TNISi1xjlhJJ	ICMX 2010801	ICMX 2010801:10	ICMB 101665	ICMB 101771
8TNISD8YgKVBv	ICMX 2010802	ICMX 2010802:9	ICMB 101963	ICMB 101771
8TNIStT2KsRhE	ICMX 2010802	ICMX 2010802:10	ICMB 101963	ICMB 101771
8TNISpO3Qs1xM	ICMX 2010802	ICMX 2010802:11	ICMB 101963	ICMB 101771
8TNISdDXbqrZz	ICMX 2010802	ICMX 2010802:12	ICMB 101963	ICMB 101771
8TNISDJxPeXui	ICMX 2010802	ICMX 2010802:1	ICMB 101963	ICMB 101771
8TNISWG3H2j9t	ICMX 2010802	ICMX 2010802:13	ICMB 101963	ICMB 101771
8TNISG3EOa11q	ICMX 2010802	ICMX 2010802:2	ICMB 101963	ICMB 101771
8TNISUMOyHKDX	ICMX 2010802	ICMX 2010802:3	ICMB 101963	ICMB 101771
8TNISpAVn00Hn	ICMX 2010802	ICMX 2010802:4	ICMB 101963	ICMB 101771
8TNISV3WGfmDK	ICMX 2010802	ICMX 2010802:5	ICMB 101963	ICMB 101771
8TNISx2xprByi	ICMX 2010802	ICMX 2010802:6	ICMB 101963	ICMB 101771
8TNISJChPLRvH	ICMX 2010802	ICMX 2010802:7	ICMB 101963	ICMB 101771
8TNISIYNOYZjy	ICMX 2010802	ICMX 2010802:8	ICMB 101963	ICMB 101771
8TNISi56i5HiF	ICMX 2010803	ICMX 2010803:8	ICMB 101600	ICMB 101771
8TNIS2VybpkmN	ICMX 2010803	ICMX 2010803:1	ICMB 101600	ICMB 101771
8TNISgNg9KtSx	ICMX 2010803	ICMX 2010803:2	ICMB 101600	ICMB 101771
8TNIShXwmwvaf	ICMX 2010803	ICMX 2010803:3	ICMB 101600	ICMB 101771
8TNISS8HzNoOO	ICMX 2010803	ICMX 2010803:4	ICMB 101600	ICMB 101771
8TNISlTPLikX0	ICMX 2010803	ICMX 2010803:5	ICMB 101600	ICMB 101771
8TNISx68nKRLN	ICMX 2010803	ICMX 2010803:6	ICMB 101600	ICMB 101771
8TNISYycnVcFF	ICMX 2010803	ICMX 2010803:7	ICMB 101600	ICMB 101771
8TNISBZw43mq8	ICMX 2010805	ICMX 2010805:12	ICMB 101959	ICMB 101793
8TNISAr49QVmz	ICMX 2010805	ICMX 2010805:1	ICMB 101959	ICMB 101793
8TNIShmovb20a	ICMX 2010805	ICMX 2010805:13	ICMB 101959	ICMB 101793
8TNISwdPl7qcF	ICMX 2010805	ICMX 2010805:2	ICMB 101959	ICMB 101793
8TNISKCqixW31	ICMX 2010805	ICMX 2010805:14	ICMB 101959	ICMB 101793
8TNISr3guau7W	ICMX 2010805	ICMX 2010805:3	ICMB 101959	ICMB 101793
8TNIShbkrNafr	ICMX 2010805	ICMX 2010805:4	ICMB 101959	ICMB 101793
8TNISw1wjf8bx	ICMX 2010805	ICMX 2010805:5	ICMB 101959	ICMB 101793
8TNIS7bhatinZ	ICMX 2010805	ICMX 2010805:6	ICMB 101959	ICMB 101793
8TNISudD6KX3T	ICMX 2010805	ICMX 2010805:8	ICMB 101959	ICMB 101793
8TNISRzvDtQ92	ICMX 2010805	ICMX 2010805:9	ICMB 101959	ICMB 101793
8TNISQ3Z4wGFy	ICMX 2010805	ICMX 2010805:10	ICMB 101959	ICMB 101793
8TNISS1sBrImT	ICMX 2010805	ICMX 2010805:11	ICMB 101959	ICMB 101793
8TNIS7AjdTK8O	ICMX 2010806	ICMX 2010806:10	ICMB 101961	ICMB 101797
8TNIS2BnBP9GS	ICMX 2010806	ICMX 2010806:11	ICMB 101961	ICMB 101797
8TNIS1OFbDZMZ	ICMX 2010806	ICMX 2010806:12	ICMB 101961	ICMB 101797
8TNIS9dSyiZti	ICMX 2010806	ICMX 2010806:1	ICMB 101961	ICMB 101797
8TNISAhzTJRin	ICMX 2010806	ICMX 2010806:13	ICMB 101961	ICMB 101797
8TNISxbOZ36t8	ICMX 2010806	ICMX 2010806:2	ICMB 101961	ICMB 101797
8TNISQJofC5TE	ICMX 2010806	ICMX 2010806:14	ICMB 101961	ICMB 101797
8TNISlGc5GEMq	ICMX 2010806	ICMX 2010806:3	ICMB 101961	ICMB 101797
8TNISsISgNAKc	ICMX 2010806	ICMX 2010806:15	ICMB 101961	ICMB 101797
8TNISoIw4Alwv	ICMX 2010806	ICMX 2010806:4	ICMB 101961	ICMB 101797
8TNIS4ZlWScd5	ICMX 2010806	ICMX 2010806:5	ICMB 101961	ICMB 101797
8TNISrrBZBVLb	ICMX 2010806	ICMX 2010806:6	ICMB 101961	ICMB 101797
8TNISWlKwZd6x	ICMX 2010806	ICMX 2010806:7	ICMB 101961	ICMB 101797
8TNIShKliFwRO	ICMX 2010806	ICMX 2010806:8	ICMB 101961	ICMB 101797
8TNIS2wOwRT59	ICMX 2010806	ICMX 2010806:9	ICMB 101961	ICMB 101797
8TNISzdUkFkQ0	ICMX 2010807	ICMX 2010807:1	ICMB 101955	ICMB 101797
8TNIS3tHcrQ3n	ICMX 2010807	ICMX 2010807:2	ICMB 101955	ICMB 101797
8TNIS3IcGTMrz	ICMX 2010807	ICMX 2010807:3	ICMB 101955	ICMB 101797
8TNIS4RroxFBN	ICMX 2010807	ICMX 2010807:4	ICMB 101955	ICMB 101797
8TNISjVNay188	ICMX 2010807	ICMX 2010807:5	ICMB 101955	ICMB 101797
8TNISZOlwsQNU	ICMX 2010807	ICMX 2010807:6	ICMB 101955	ICMB 101797
8TNISuGK0uWj3	ICMX 2010807	ICMX 2010807:7	ICMB 101955	ICMB 101797
8TNIS3QxDpXzT	ICMX 2010807	ICMX 2010807:8	ICMB 101955	ICMB 101797
8TNISzDhFZ59x	ICMX 2010807	ICMX 2010807:9	ICMB 101955	ICMB 101797
8TNISCqw4wDWc	ICMX 2010807	ICMX 2010807:10	ICMB 101955	ICMB 101797
8TNISYpGTGEic	ICMX 2010807	ICMX 2010807:11	ICMB 101955	ICMB 101797
8TNISVmbRcIG7	ICMX 2010807	ICMX 2010807:12	ICMB 101955	ICMB 101797
8TNIS0JUYzBTD	ICMX 2010807	ICMX 2010807:13	ICMB 101955	ICMB 101797
8TNISJfnvxvka	ICMX 2010808	ICMX 2010808:4	ICMB 101956	ICMB 101793
8TNIStCYAmTgb	ICMX 2010808	ICMX 2010808:5	ICMB 101956	ICMB 101793
8TNISWxEOZk9c	ICMX 2010808	ICMX 2010808:6	ICMB 101956	ICMB 101793
8TNIS86xKXoJP	ICMX 2010808	ICMX 2010808:7	ICMB 101956	ICMB 101793
8TNISqS87Rwb3	ICMX 2010808	ICMX 2010808:8	ICMB 101956	ICMB 101793
8TNISJ70qR8T9	ICMX 2010808	ICMX 2010808:9	ICMB 101956	ICMB 101793
8TNISRrrpazVW	ICMX 2010808	ICMX 2010808:10	ICMB 101956	ICMB 101793
8TNISSnh821qM	ICMX 2010808	ICMX 2010808:11	ICMB 101956	ICMB 101793
8TNISi6X2r43i	ICMX 2010808	ICMX 2010808:12	ICMB 101956	ICMB 101793
8TNISGRHonb0Q	ICMX 2010808	ICMX 2010808:1	ICMB 101956	ICMB 101793
8TNISjJSkwcPZ	ICMX 2010808	ICMX 2010808:2	ICMB 101956	ICMB 101793
8TNIS5eSdMJJ8	ICMX 2010808	ICMX 2010808:3	ICMB 101956	ICMB 101793
8TNISHMj2cw80	ICMX 2010809	ICMX 2010809:3	ICMB 101665	ICMB 101797
8TNISGZGB3gKj	ICMX 2010809	ICMX 2010809:4	ICMB 101665	ICMB 101797
8TNISaqdjpZ0E	ICMX 2010809	ICMX 2010809:5	ICMB 101665	ICMB 101797
8TNISlKtfFbgM	ICMX 2010809	ICMX 2010809:6	ICMB 101665	ICMB 101797
8TNISOwFFyPod	ICMX 2010809	ICMX 2010809:7	ICMB 101665	ICMB 101797
8TNISk3f3JLX6	ICMX 2010809	ICMX 2010809:8	ICMB 101665	ICMB 101797
8TNISg97p1p9R	ICMX 2010809	ICMX 2010809:9	ICMB 101665	ICMB 101797
8TNISOEEr8mO4	ICMX 2010809	ICMX 2010809:10	ICMB 101665	ICMB 101797
8TNIS4U5uR6IK	ICMX 2010809	ICMX 2010809:11	ICMB 101665	ICMB 101797
8TNISSJ9vgp9m	ICMX 2010809	ICMX 2010809:12	ICMB 101665	ICMB 101797
8TNISkHyjCeRQ	ICMX 2010809	ICMX 2010809:1	ICMB 101665	ICMB 101797
8TNISkQGXdY0o	ICMX 2010809	ICMX 2010809:2	ICMB 101665	ICMB 101797
8TNISej8qtxTY	ICMX 2010810	ICMX 2010810:2	ICMB 101832	ICMB 101797
8TNIS7B07WbBe	ICMX 2010810	ICMX 2010810:3	ICMB 101832	ICMB 101797
8TNISwXCUTqV2	ICMX 2010810	ICMX 2010810:4	ICMB 101832	ICMB 101797
8TNISGMlz9Kp6	ICMX 2010810	ICMX 2010810:5	ICMB 101832	ICMB 101797
8TNISGGJS4efg	ICMX 2010810	ICMX 2010810:6	ICMB 101832	ICMB 101797
8TNISrS8CfQw7	ICMX 2010810	ICMX 2010810:7	ICMB 101832	ICMB 101797
8TNISrAgmQKEM	ICMX 2010810	ICMX 2010810:8	ICMB 101832	ICMB 101797
8TNIS64NAdBYJ	ICMX 2010810	ICMX 2010810:9	ICMB 101832	ICMB 101797
8TNISCvLIRvtR	ICMX 2010810	ICMX 2010810:10	ICMB 101832	ICMB 101797
8TNISdCKgLw6a	ICMX 2010810	ICMX 2010810:11	ICMB 101832	ICMB 101797
8TNISDmDDc8sy	ICMX 2010810	ICMX 2010810:12	ICMB 101832	ICMB 101797
8TNISmKyRsP89	ICMX 2010810	ICMX 2010810:1	ICMB 101832	ICMB 101797
8TNISb0vR3Yvb	ICMX 2010811	ICMX 2010811:1	ICMB 101900	ICMB 101792
8TNISRiOQoEFK	ICMX 2010811	ICMX 2010811:2	ICMB 101900	ICMB 101792
8TNISY94mqxZD	ICMX 2010811	ICMX 2010811:3	ICMB 101900	ICMB 101792
8TNIS0dxrtj82	ICMX 2010811	ICMX 2010811:4	ICMB 101900	ICMB 101792
8TNIS3fQwb4fH	ICMX 2010811	ICMX 2010811:5	ICMB 101900	ICMB 101792
8TNISPKmw2Nn4	ICMX 2010811	ICMX 2010811:6	ICMB 101900	ICMB 101792
8TNISOCQeQ1lF	ICMX 2010811	ICMX 2010811:7	ICMB 101900	ICMB 101792
8TNIS8ts8qn3z	ICMX 2010811	ICMX 2010811:8	ICMB 101900	ICMB 101792
8TNISi1PBoxxS	ICMX 2010811	ICMX 2010811:9	ICMB 101900	ICMB 101792
8TNISC2T5Manv	ICMX 2010811	ICMX 2010811:10	ICMB 101900	ICMB 101792
8TNISWM8bsWzd	ICMX 2010811	ICMX 2010811:11	ICMB 101900	ICMB 101792
8TNIS52vD3WOp	ICMX 2010811	ICMX 2010811:12	ICMB 101900	ICMB 101792
8TNISlq9dwTrk	ICMX 2010812	ICMX 2010812:1	ICMB 101832	ICMB 101792
8TNISJydh7DM0	ICMX 2010812	ICMX 2010812:2	ICMB 101832	ICMB 101792
8TNISoHUmopPB	ICMX 2010812	ICMX 2010812:3	ICMB 101832	ICMB 101792
8TNISlL8GidbJ	ICMX 2010812	ICMX 2010812:4	ICMB 101832	ICMB 101792
8TNISrfhUTr2M	ICMX 2010812	ICMX 2010812:5	ICMB 101832	ICMB 101792
8TNISKyN4dir7	ICMX 2010812	ICMX 2010812:6	ICMB 101832	ICMB 101792
8TNISaUYXCDBR	ICMX 2010812	ICMX 2010812:7	ICMB 101832	ICMB 101792
8TNIS9MftXfN7	ICMX 2010812	ICMX 2010812:8	ICMB 101832	ICMB 101792
8TNISHmGGWMWO	ICMX 2010813	ICMX 2010813:4	ICMB 101779	ICMB 101771
8TNISPbEm9O6B	ICMX 2010813	ICMX 2010813:5	ICMB 101779	ICMB 101771
8TNISS2i1QLpN	ICMX 2010813	ICMX 2010813:6	ICMB 101779	ICMB 101771
8TNISXmrHJRZi	ICMX 2010813	ICMX 2010813:1	ICMB 101779	ICMB 101771
8TNISpYu86kps	ICMX 2010813	ICMX 2010813:2	ICMB 101779	ICMB 101771
8TNISkDYxTPTd	ICMX 2010813	ICMX 2010813:3	ICMB 101779	ICMB 101771
8TNISBingxvzU	ICMX 2010814	ICMX 2010814:10	ICMB 101797	ICMB 101793
8TNISOhGpbGy0	ICMX 2010814	ICMX 2010814:11	ICMB 101797	ICMB 101793
8TNISRFnTIfPp	ICMX 2010814	ICMX 2010814:12	ICMB 101797	ICMB 101793
8TNIShCYish4Z	ICMX 2010814	ICMX 2010814:1	ICMB 101797	ICMB 101793
8TNIS9u3l5wPZ	ICMX 2010814	ICMX 2010814:13	ICMB 101797	ICMB 101793
8TNISYh1Qrf3K	ICMX 2010814	ICMX 2010814:2	ICMB 101797	ICMB 101793
8TNISrQQ2KsXz	ICMX 2010814	ICMX 2010814:14	ICMB 101797	ICMB 101793
8TNISyoQCIn3l	ICMX 2010814	ICMX 2010814:3	ICMB 101797	ICMB 101793
8TNISwZ3mkUHR	ICMX 2010814	ICMX 2010814:4	ICMB 101797	ICMB 101793
8TNIS0VuriNii	ICMX 2010814	ICMX 2010814:5	ICMB 101797	ICMB 101793
8TNISZLbu8pHz	ICMX 2010814	ICMX 2010814:6	ICMB 101797	ICMB 101793
8TNISfGr1dVW0	ICMX 2010814	ICMX 2010814:7	ICMB 101797	ICMB 101793
8TNISNtpfG1u0	ICMX 2010814	ICMX 2010814:8	ICMB 101797	ICMB 101793
8TNISVZArx761	ICMX 2010814	ICMX 2010814:9	ICMB 101797	ICMB 101793
8TNISunOtgW5D	ICMX 2010815	ICMX 2010815:1	ICMB 101793	ICMB 101792
8TNISDY1GDF8S	ICMX 2010815	ICMX 2010815:2	ICMB 101793	ICMB 101792
8TNISuBqlrbQf	ICMX 2010815	ICMX 2010815:3	ICMB 101793	ICMB 101792
8TNISmreaD6KC	ICMX 2010815	ICMX 2010815:4	ICMB 101793	ICMB 101792
8TNISyT4T1a9h	ICMX 2010815	ICMX 2010815:5	ICMB 101793	ICMB 101792
8TNIS7koTzqrW	ICMX 2010815	ICMX 2010815:6	ICMB 101793	ICMB 101792
8TNISuJCjcMvj	ICMX 2010815	ICMX 2010815:7	ICMB 101793	ICMB 101792
8TNISW0XBUq1l	ICMX 2010815	ICMX 2010815:8	ICMB 101793	ICMB 101792
8TNISYd4etgSP	ICMX 2010815	ICMX 2010815:9	ICMB 101793	ICMB 101792
8TNISMUTXiUaW	ICMX 2010816	ICMX 2010816:1	ICMB 101797	ICMB 101795
8TNISR7s6ynv0	ICMX 2010816	ICMX 2010816:2	ICMB 101797	ICMB 101795
8TNISTFF46U9Y	ICMX 2010816	ICMX 2010816:3	ICMB 101797	ICMB 101795
8TNISXVT9s2H4	ICMX 2010816	ICMX 2010816:4	ICMB 101797	ICMB 101795
8TNIS8hcyI3oB	ICMX 2010816	ICMX 2010816:5	ICMB 101797	ICMB 101795
8TNISPJi1jPVR	ICMX 2010816	ICMX 2010816:6	ICMB 101797	ICMB 101795
8TNISKrepyuDd	ICMX 2010816	ICMX 2010816:7	ICMB 101797	ICMB 101795
8TNISmqs63ITb	ICMX 2010817	ICMX 2010817:12	ICMB 17555	ICMB 101881
8TNISCuQFRBWZ	ICMX 2010817	ICMX 2010817:1	ICMB 17555	ICMB 101881
8TNISfS3kXlZB	ICMX 2010817	ICMX 2010817:13	ICMB 17555	ICMB 101881
8TNISdqYgRdP9	ICMX 2010817	ICMX 2010817:2	ICMB 17555	ICMB 101881
8TNISFYDEQc2w	ICMX 2010817	ICMX 2010817:14	ICMB 17555	ICMB 101881
8TNISJnzVEd24	ICMX 2010817	ICMX 2010817:3	ICMB 17555	ICMB 101881
8TNISjjCjtXbc	ICMX 2010817	ICMX 2010817:15	ICMB 17555	ICMB 101881
8TNISwBaFhISV	ICMX 2010817	ICMX 2010817:4	ICMB 17555	ICMB 101881
8TNISRjxhRSUp	ICMX 2010817	ICMX 2010817:5	ICMB 17555	ICMB 101881
8TNISAlqxY0z1	ICMX 2010817	ICMX 2010817:6	ICMB 17555	ICMB 101881
8TNISob1GALMU	ICMX 2010817	ICMX 2010817:7	ICMB 17555	ICMB 101881
8TNISygE7ttHV	ICMX 2010817	ICMX 2010817:8	ICMB 17555	ICMB 101881
8TNISs2tIwaWq	ICMX 2010817	ICMX 2010817:9	ICMB 17555	ICMB 101881
8TNISUgTV6TCG	ICMX 2010817	ICMX 2010817:10	ICMB 17555	ICMB 101881
8TNISsLJU7Wh3	ICMX 2010817	ICMX 2010817:11	ICMB 17555	ICMB 101881
8TNISh9PAS7Fz	ICMX 2010818	ICMX 2010818:9	ICMB 10111	ICMB 101881
8TNIS0sV0ARCs	ICMX 2010818	ICMX 2010818:10	ICMB 10111	ICMB 101881
8TNISYtGeJR7X	ICMX 2010818	ICMX 2010818:11	ICMB 10111	ICMB 101881
8TNISPtnQIhmQ	ICMX 2010818	ICMX 2010818:12	ICMB 10111	ICMB 101881
8TNISpMuVH9fP	ICMX 2010818	ICMX 2010818:1	ICMB 10111	ICMB 101881
8TNIStJPWRoBd	ICMX 2010818	ICMX 2010818:13	ICMB 10111	ICMB 101881
8TNISyz8s8Jcf	ICMX 2010818	ICMX 2010818:2	ICMB 10111	ICMB 101881
8TNISHgkYUgxc	ICMX 2010818	ICMX 2010818:14	ICMB 10111	ICMB 101881
8TNISK9eknHYE	ICMX 2010818	ICMX 2010818:3	ICMB 10111	ICMB 101881
8TNIS3f7ErIi8	ICMX 2010818	ICMX 2010818:4	ICMB 10111	ICMB 101881
8TNISYGwHOu1U	ICMX 2010818	ICMX 2010818:5	ICMB 10111	ICMB 101881
8TNISr6LVerAw	ICMX 2010818	ICMX 2010818:6	ICMB 10111	ICMB 101881
8TNISzmm92HM1	ICMX 2010818	ICMX 2010818:7	ICMB 10111	ICMB 101881
8TNISwPP07mW0	ICMX 2010818	ICMX 2010818:8	ICMB 10111	ICMB 101881
8TNISVUMharVL	ICMX 2010819	ICMX 2010819:7	ICMB 08666	ICMB 101881
8TNIS4JFhcYlU	ICMX 2010819	ICMX 2010819:8	ICMB 08666	ICMB 101881
8TNISA9iFMX9w	ICMX 2010819	ICMX 2010819:9	ICMB 08666	ICMB 101881
8TNISynMRLzxP	ICMX 2010819	ICMX 2010819:10	ICMB 08666	ICMB 101881
8TNISePX1K8lz	ICMX 2010819	ICMX 2010819:11	ICMB 08666	ICMB 101881
8TNIS3XZtAFhW	ICMX 2010819	ICMX 2010819:1	ICMB 08666	ICMB 101881
8TNISosFEf4mW	ICMX 2010819	ICMX 2010819:2	ICMB 08666	ICMB 101881
8TNISP7dDZOkS	ICMX 2010819	ICMX 2010819:3	ICMB 08666	ICMB 101881
8TNISFaAlfNSU	ICMX 2010819	ICMX 2010819:4	ICMB 08666	ICMB 101881
8TNISkVNmAcqY	ICMX 2010819	ICMX 2010819:5	ICMB 08666	ICMB 101881
8TNISfwk7QTeu	ICMX 2010819	ICMX 2010819:6	ICMB 08666	ICMB 101881
8TNIS8dy6Akom	ICMX 2010820	ICMX 2010820:8	ICMB 18444	ICMB 101867
8TNISn36i4fm8	ICMX 2010820	ICMX 2010820:9	ICMB 18444	ICMB 101867
8TNISUWGwlTjG	ICMX 2010820	ICMX 2010820:10	ICMB 18444	ICMB 101867
8TNISO0jXokqQ	ICMX 2010820	ICMX 2010820:11	ICMB 18444	ICMB 101867
8TNISsFMGBS3C	ICMX 2010820	ICMX 2010820:12	ICMB 18444	ICMB 101867
8TNISfV3wjWlh	ICMX 2010820	ICMX 2010820:1	ICMB 18444	ICMB 101867
8TNISPWUC60O1	ICMX 2010820	ICMX 2010820:2	ICMB 18444	ICMB 101867
8TNISDwuLezQl	ICMX 2010820	ICMX 2010820:3	ICMB 18444	ICMB 101867
8TNISdVjtE4tx	ICMX 2010820	ICMX 2010820:4	ICMB 18444	ICMB 101867
8TNISCnYsIuNy	ICMX 2010820	ICMX 2010820:5	ICMB 18444	ICMB 101867
8TNIS8Rbvprha	ICMX 2010820	ICMX 2010820:6	ICMB 18444	ICMB 101867
8TNIS8Ossz6pu	ICMX 2010820	ICMX 2010820:7	ICMB 18444	ICMB 101867
8TNIS1sdLR5xe	ICMX 2010821	ICMX 2010821:7	ICMB 101378	ICMB 101960
8TNIS3bhoilt3	ICMX 2010821	ICMX 2010821:8	ICMB 101378	ICMB 101960
8TNISFt9bjCqY	ICMX 2010821	ICMX 2010821:9	ICMB 101378	ICMB 101960
8TNISRxD8UrmZ	ICMX 2010821	ICMX 2010821:10	ICMB 101378	ICMB 101960
8TNIS8hkd8z1Q	ICMX 2010821	ICMX 2010821:1	ICMB 101378	ICMB 101960
8TNISUuGQLAQh	ICMX 2010821	ICMX 2010821:2	ICMB 101378	ICMB 101960
8TNIS59myYYpy	ICMX 2010821	ICMX 2010821:3	ICMB 101378	ICMB 101960
8TNISKvotH6Ge	ICMX 2010821	ICMX 2010821:4	ICMB 101378	ICMB 101960
8TNIS7FYsDCx8	ICMX 2010821	ICMX 2010821:5	ICMB 101378	ICMB 101960
8TNISRSniDt46	ICMX 2010821	ICMX 2010821:6	ICMB 101378	ICMB 101960
8TNISMiHXfbMP	ICMX 2010822	ICMX 2010822:8	ICMB 101378	ICMB 100136
8TNISN9Ol4Ppr	ICMX 2010822	ICMX 2010822:9	ICMB 101378	ICMB 100136
8TNISAOWT2ruQ	ICMX 2010822	ICMX 2010822:10	ICMB 101378	ICMB 100136
8TNISOhMT5Wno	ICMX 2010822	ICMX 2010822:11	ICMB 101378	ICMB 100136
8TNISmKxI4Q8Q	ICMX 2010822	ICMX 2010822:12	ICMB 101378	ICMB 100136
8TNISTiRzPsQ1	ICMX 2010822	ICMX 2010822:1	ICMB 101378	ICMB 100136
8TNIS7VYvQs14	ICMX 2010822	ICMX 2010822:13	ICMB 101378	ICMB 100136
8TNIS0fStDuwb	ICMX 2010822	ICMX 2010822:2	ICMB 101378	ICMB 100136
8TNIShLHAjqHP	ICMX 2010822	ICMX 2010822:3	ICMB 101378	ICMB 100136
8TNISUsQddyic	ICMX 2010822	ICMX 2010822:4	ICMB 101378	ICMB 100136
8TNISY0b5AD5f	ICMX 2010822	ICMX 2010822:5	ICMB 101378	ICMB 100136
8TNISZH1mJeOe	ICMX 2010822	ICMX 2010822:6	ICMB 101378	ICMB 100136
8TNISSYqmkd5l	ICMX 2010822	ICMX 2010822:7	ICMB 101378	ICMB 100136
8TNISfQIl9GiK	ICMX 2010823	ICMX 2010823:1	ICMB 101961	ICMB 101117
8TNISTriL86zD	ICMX 2010823	ICMX 2010823:2	ICMB 101961	ICMB 101117
8TNISA4CNwYgP	ICMX 2010823	ICMX 2010823:3	ICMB 101961	ICMB 101117
8TNISAOSM3Vnx	ICMX 2010823	ICMX 2010823:4	ICMB 101961	ICMB 101117
